Shape,Flour Type,Weight,Function Type,Ingredients,Icing Type,Filling,Dietary Preference,Color Theme,Toppings,Cake Layers,Texture,Sweetness Level,Decorations,Serving Size,Price Range,Allergens,Shelf Life
Square,Almond,1.5kg,Graduation,"Ganache, Buttercream, Nuts",Cream Cheese Frosting,Strawberry Jam,Gluten-Free,Pastel,"Marshmallows, Nuts, Chocolate Chips",Multi-Tier,Soft,High,Piping Art,Small,Standard,Gluten,1 Week
Heart,Pistachio,0.5kg,Wedding,"Buttercream, Nuts, Chocolate, Ganache, Cream Cheese",Whipped Cream,Chocolate,Low-Carb,Rainbow,"Fruits, Chocolate Chips, Sprinkles",Single,Soft,High,"Fondant Figures, Edible Glitter",Medium,Budget,Dairy,3 Days
Rectangle,Pistachio,2kg,Anniversary,"Cream Cheese, Caramel, Buttercream, Fondant, Mousse",Ganache,Vanilla Custard,Eggless,Monochrome,Chocolate Chips,Double,Dense,Medium,Candied Fruits,Medium,Premium,None,Custom
Star,Carrot,3kg,Corporate,"Ganache, Cream Cheese, Chocolate",Whipped Cream,Vanilla Custard,Eggless,Silver,"Edible Flowers, Marshmallows, Fruits",Single,Moist,Extra Sweet,"Candied Fruits, Piping Art, Chocolate Shavings",Large,Premium,"Dairy, Gluten",1 Day
Dome,Marble,3kg,Wedding,"Ganache, Fruits",Whipped Cream,Caramel,Keto-Friendly,Bright,Sprinkles,Single,Dense,Extra Sweet,"Edible Glitter, Gold Leaf",Medium,Standard,Gluten,Custom
Tiered,Vanilla,1.5kg,Wedding,"Chocolate, Caramel, Nuts",Cream Cheese Frosting,Vanilla Custard,Eggless,Monochrome,Caramel Drizzle,Single,Fluffy,Medium,"Chocolate Shavings, Fondant Figures",Small,Budget,None,1 Week
Star,Coconut,5kg,Birthday,"Mousse, Fondant, Nuts",Buttercream,Strawberry Jam,Low-Carb,Silver,Chocolate Chips,Multi-Tier,Soft,Low,"Piping Art, Gold Leaf",Small,Premium,"Gluten, Nuts",1 Day
Square,Marble,4kg,Graduation,"Caramel, Fruits, Cream Cheese",Royal Icing,Nutella,Gluten-Free,Silver,Edible Flowers,Multi-Tier,Moist,High,"Candied Fruits, Piping Art",Party Size,Standard,"Gluten, None",3 Days
Heart,Coconut,1.5kg,Engagement,"Buttercream, Chocolate, Caramel",Royal Icing,Vanilla Custard,Gluten-Free,Rainbow,"Caramel Drizzle, Sprinkles, Nuts",Multi-Tier,Soft,Extra Sweet,"Gold Leaf, Candied Fruits",Large,Standard,None,Custom
Round,Gluten-Free,3kg,Anniversary,"Buttercream, Ganache, Chocolate, Fruits",Royal Icing,Raspberry Mousse,Eggless,Bright,Marshmallows,Single,Dense,Medium,"Fondant Figures, Chocolate Shavings, Edible Glitter",Party Size,Luxury,"Dairy, None",Custom
Dome,Almond,1kg,Corporate,"Fruits, Cream Cheese, Caramel, Nuts, Buttercream",Buttercream,Raspberry Mousse,Regular,Dark,Chocolate Chips,Double,Soft,Low,"Chocolate Shavings, Piping Art, Gold Leaf",Large,Budget,Dairy,1 Day
Square,Marble,3kg,Engagement,"Cream Cheese, Caramel, Nuts, Ganache",Royal Icing,Fruit Compote,Eggless,Bright,"Chocolate Chips, Sprinkles",Double,Crispy,Medium,"Gold Leaf, Fondant Figures, Candied Fruits",Large,Luxury,"None, Soy",1 Day
Rectangle,Vanilla,1kg,Wedding,"Mousse, Caramel, Cream Cheese, Nuts",Buttercream,Strawberry Jam,Low-Carb,Gold,Caramel Drizzle,Single,Moist,Low,Chocolate Shavings,Party Size,Luxury,Dairy,1 Week
Oval,Vanilla,Custom,Birthday,"Buttercream, Cream Cheese, Ganache",Cream Cheese Frosting,Nutella,Sugar-Free,Bright,"Marshmallows, Fruits, Nuts",Single,Dense,Extra Sweet,Gold Leaf,Small,Budget,Gluten,3 Days
Oval,Vanilla,2kg,Festival,"Ganache, Mousse",Cream Cheese Frosting,Chocolate,Sugar-Free,Rainbow,Caramel Drizzle,Double,Crispy,Extra Sweet,"Edible Glitter, Fondant Figures, Chocolate Shavings",Large,Budget,"Dairy, Soy",Custom
Star,Vanilla,1kg,Wedding,"Cream Cheese, Ganache",Whipped Cream,Caramel,Regular,Rainbow,Fruits,Single,Crispy,Medium,"Candied Fruits, Gold Leaf, Piping Art",Large,Luxury,"None, Soy",Custom
Rectangle,Pistachio,2kg,Festival,"Buttercream, Fondant, Nuts, Cream Cheese",Royal Icing,Strawberry Jam,Sugar-Free,Dark,Fruits,Double,Soft,Medium,"Chocolate Shavings, Edible Glitter, Candied Fruits",Large,Premium,Soy,Custom
Star,Vanilla,1.5kg,Corporate,"Caramel, Nuts, Fruits, Fondant, Chocolate",Cream Cheese Frosting,Nutella,Keto-Friendly,Dark,"Caramel Drizzle, Nuts, Chocolate Chips",Multi-Tier,Moist,Extra Sweet,Candied Fruits,Small,Luxury,"Gluten, Nuts",1 Week
Dome,Chocolate,3kg,Engagement,"Fondant, Cream Cheese",Cream Cheese Frosting,Raspberry Mousse,Low-Carb,Gold,"Caramel Drizzle, Marshmallows",Single,Fluffy,Medium,"Piping Art, Candied Fruits, Chocolate Shavings",Small,Budget,"Nuts, Gluten",3 Days
Dome,Pistachio,0.5kg,Wedding,"Fruits, Nuts, Mousse, Buttercream",Royal Icing,Caramel,Gluten-Free,Dark,"Sprinkles, Nuts, Marshmallows",Multi-Tier,Dense,Low,"Gold Leaf, Chocolate Shavings, Fondant Figures",Large,Premium,Gluten,3 Days
Star,Chocolate,5kg,Graduation,"Fruits, Fondant, Nuts, Chocolate, Ganache",Buttercream,Vanilla Custard,Eggless,Monochrome,"Nuts, Chocolate Chips",Single,Fluffy,Extra Sweet,"Fondant Figures, Piping Art, Chocolate Shavings",Small,Premium,"Nuts, Gluten",3 Days
Hexagon,Almond,1kg,Baby Shower,"Fondant, Nuts",Whipped Cream,Caramel,Eggless,Gold,Caramel Drizzle,Single,Fluffy,Medium,"Fondant Figures, Edible Glitter",Small,Budget,Soy,Custom
Square,Red Velvet,2.5kg,Birthday,"Fruits, Cream Cheese, Nuts, Mousse, Buttercream",Buttercream,Fruit Compote,Vegan,Rainbow,"Chocolate Chips, Fruits, Edible Flowers",Multi-Tier,Fluffy,High,Gold Leaf,Large,Standard,Gluten,3 Days
Square,Red Velvet,3kg,Wedding,"Fondant, Mousse",Ganache,Fruit Compote,Eggless,Rainbow,"Edible Flowers, Chocolate Chips, Sprinkles",Double,Moist,Low,Candied Fruits,Small,Standard,Nuts,3 Days
Dome,Vanilla,1.5kg,Engagement,"Fondant, Buttercream, Fruits, Chocolate",Buttercream,Vanilla Custard,Vegan,Monochrome,"Chocolate Chips, Fruits, Nuts",Single,Crispy,High,Candied Fruits,Party Size,Standard,None,1 Week
Star,Carrot,4kg,Birthday,"Fruits, Buttercream",Ganache,Vanilla Custard,Gluten-Free,Dark,"Marshmallows, Sprinkles, Caramel Drizzle",Multi-Tier,Crispy,Extra Sweet,Candied Fruits,Party Size,Premium,Dairy,3 Days
Tiered,Pistachio,Custom,Birthday,"Fruits, Chocolate, Cream Cheese, Nuts",Buttercream,Fruit Compote,Regular,Dark,Caramel Drizzle,Double,Soft,Extra Sweet,Candied Fruits,Large,Luxury,Gluten,Custom
Rectangle,Chocolate,5kg,Corporate,"Chocolate, Cream Cheese, Ganache",Cream Cheese Frosting,Strawberry Jam,Vegan,Dark,Chocolate Chips,Single,Moist,High,Piping Art,Medium,Premium,"Dairy, Soy",3 Days
Oval,Gluten-Free,2.5kg,Engagement,"Chocolate, Buttercream, Mousse, Caramel, Cream Cheese",Cream Cheese Frosting,Nutella,Low-Carb,Rainbow,Marshmallows,Double,Moist,Extra Sweet,"Edible Glitter, Gold Leaf, Fondant Figures",Party Size,Standard,"None, Nuts",3 Days
Heart,Marble,4kg,Festival,"Caramel, Cream Cheese, Nuts",Cream Cheese Frosting,Fruit Compote,Sugar-Free,Dark,Marshmallows,Double,Soft,Low,Candied Fruits,Party Size,Premium,"Soy, Dairy",3 Days
Square,Gluten-Free,Custom,Festival,"Ganache, Fondant, Caramel, Mousse, Buttercream",Whipped Cream,Vanilla Custard,Keto-Friendly,Dark,"Fruits, Marshmallows, Nuts",Multi-Tier,Moist,Medium,"Chocolate Shavings, Piping Art",Large,Luxury,None,3 Days
Hexagon,Marble,5kg,Baby Shower,"Fondant, Fruits",Fondant,Chocolate,Sugar-Free,Gold,"Sprinkles, Fruits",Multi-Tier,Dense,High,"Edible Glitter, Fondant Figures",Small,Premium,"None, Gluten",1 Day
Oval,Red Velvet,Custom,Corporate,"Cream Cheese, Mousse",Whipped Cream,Fruit Compote,Vegan,Monochrome,Chocolate Chips,Multi-Tier,Crispy,Low,"Edible Glitter, Gold Leaf, Piping Art",Large,Standard,Nuts,1 Week
Square,Carrot,2kg,Engagement,"Fruits, Ganache, Nuts, Chocolate",Cream Cheese Frosting,Fruit Compote,Sugar-Free,Pastel,"Sprinkles, Fruits",Single,Moist,Medium,"Candied Fruits, Fondant Figures",Medium,Premium,Nuts,1 Day
Tiered,Carrot,Custom,Birthday,"Ganache, Buttercream, Cream Cheese, Nuts",Fondant,Raspberry Mousse,Sugar-Free,Monochrome,"Chocolate Chips, Nuts",Multi-Tier,Fluffy,Medium,Chocolate Shavings,Party Size,Standard,Nuts,1 Day
Hexagon,Marble,4kg,Birthday,"Nuts, Buttercream, Fruits, Caramel",Fondant,Strawberry Jam,Vegan,Pastel,"Chocolate Chips, Marshmallows, Edible Flowers",Single,Moist,Low,"Candied Fruits, Gold Leaf",Party Size,Budget,"Dairy, Nuts",1 Week
Tiered,Marble,3kg,Anniversary,"Caramel, Nuts, Fondant",Cream Cheese Frosting,Nutella,Regular,Rainbow,"Edible Flowers, Chocolate Chips, Nuts",Double,Dense,High,"Candied Fruits, Chocolate Shavings",Party Size,Premium,None,1 Day
Round,Coconut,1kg,Wedding,"Cream Cheese, Buttercream",Whipped Cream,Nutella,Eggless,Rainbow,"Nuts, Edible Flowers, Sprinkles",Single,Dense,High,"Fondant Figures, Candied Fruits, Edible Glitter",Medium,Luxury,"Gluten, Dairy",1 Week
Oval,Coconut,3kg,Festival,"Chocolate, Nuts, Mousse",Fondant,Caramel,Keto-Friendly,Dark,Chocolate Chips,Single,Dense,Low,"Fondant Figures, Edible Glitter",Large,Budget,Dairy,1 Week
Square,Gluten-Free,1kg,Wedding,"Cream Cheese, Chocolate, Buttercream, Fondant",Fondant,Caramel,Low-Carb,Bright,"Caramel Drizzle, Nuts, Chocolate Chips",Single,Dense,High,"Candied Fruits, Gold Leaf",Party Size,Luxury,"Soy, None",Custom
Round,Carrot,3kg,Engagement,"Fondant, Fruits, Chocolate, Nuts, Ganache",Royal Icing,Fruit Compote,Regular,Pastel,Chocolate Chips,Double,Soft,Low,"Piping Art, Gold Leaf",Small,Premium,Nuts,1 Week
Rectangle,Pistachio,4kg,Festival,"Fruits, Chocolate, Mousse",Whipped Cream,Raspberry Mousse,Regular,Dark,Sprinkles,Multi-Tier,Fluffy,Medium,Gold Leaf,Small,Premium,"None, Dairy",Custom
Oval,Carrot,0.5kg,Festival,"Buttercream, Caramel",Royal Icing,Chocolate,Keto-Friendly,Bright,"Sprinkles, Marshmallows",Single,Dense,Extra Sweet,"Gold Leaf, Edible Glitter, Fondant Figures",Party Size,Luxury,Nuts,3 Days
Tiered,Vanilla,Custom,Engagement,"Ganache, Chocolate",Royal Icing,Fruit Compote,Regular,Silver,Marshmallows,Double,Dense,Low,"Gold Leaf, Chocolate Shavings, Fondant Figures",Large,Standard,"Soy, Gluten",3 Days
Square,Gluten-Free,1.5kg,Festival,"Fondant, Buttercream, Mousse",Fondant,Nutella,Regular,Bright,"Chocolate Chips, Edible Flowers, Marshmallows",Single,Fluffy,High,Piping Art,Small,Standard,Gluten,3 Days
Oval,Almond,1kg,Wedding,"Caramel, Chocolate, Fondant",Buttercream,Raspberry Mousse,Gluten-Free,Monochrome,Chocolate Chips,Single,Moist,Medium,"Piping Art, Candied Fruits",Medium,Premium,"Gluten, Nuts",1 Day
Dome,Marble,1.5kg,Festival,"Cream Cheese, Nuts, Buttercream, Fondant, Ganache",Whipped Cream,Chocolate,Eggless,Monochrome,"Edible Flowers, Nuts, Sprinkles",Double,Soft,Extra Sweet,"Candied Fruits, Chocolate Shavings, Fondant Figures",Party Size,Budget,Soy,3 Days
Square,Marble,2kg,Birthday,"Mousse, Ganache, Cream Cheese",Whipped Cream,Strawberry Jam,Regular,Bright,Chocolate Chips,Multi-Tier,Moist,High,Edible Glitter,Medium,Budget,None,1 Week
Rectangle,Almond,3kg,Birthday,"Fruits, Mousse, Caramel",Royal Icing,Vanilla Custard,Regular,Gold,"Edible Flowers, Chocolate Chips",Single,Crispy,Medium,Candied Fruits,Small,Premium,None,1 Day
Rectangle,Marble,1.5kg,Corporate,"Cream Cheese, Fruits, Chocolate, Buttercream, Mousse",Royal Icing,Chocolate,Eggless,Dark,"Marshmallows, Sprinkles, Edible Flowers",Single,Soft,Medium,"Candied Fruits, Chocolate Shavings",Large,Luxury,"Soy, Gluten",1 Day
Round,Chocolate,0.5kg,Engagement,"Nuts, Mousse, Fruits, Ganache",Royal Icing,Nutella,Sugar-Free,Bright,"Chocolate Chips, Sprinkles",Single,Dense,Medium,"Chocolate Shavings, Candied Fruits",Small,Standard,Nuts,1 Day
Oval,Gluten-Free,2kg,Wedding,"Fruits, Chocolate, Mousse",Royal Icing,Caramel,Keto-Friendly,Bright,"Caramel Drizzle, Marshmallows, Fruits",Single,Moist,Extra Sweet,Candied Fruits,Large,Standard,Gluten,1 Week
Dome,Chocolate,1kg,Wedding,"Chocolate, Mousse",Buttercream,Raspberry Mousse,Regular,Silver,"Sprinkles, Fruits, Nuts",Double,Fluffy,Extra Sweet,"Chocolate Shavings, Gold Leaf, Edible Glitter",Party Size,Standard,"None, Nuts",3 Days
Dome,Gluten-Free,Custom,Birthday,"Buttercream, Mousse, Cream Cheese",Fondant,Vanilla Custard,Eggless,Gold,"Chocolate Chips, Caramel Drizzle, Fruits",Double,Soft,Medium,Gold Leaf,Party Size,Standard,"Dairy, Soy",3 Days
Round,Chocolate,2kg,Corporate,"Buttercream, Mousse, Chocolate",Ganache,Strawberry Jam,Regular,Pastel,"Sprinkles, Edible Flowers, Caramel Drizzle",Double,Fluffy,High,"Gold Leaf, Piping Art, Candied Fruits",Small,Premium,"Gluten, None",1 Week
Rectangle,Almond,2kg,Birthday,"Fruits, Mousse, Nuts",Ganache,Chocolate,Gluten-Free,Monochrome,Chocolate Chips,Multi-Tier,Soft,High,Chocolate Shavings,Party Size,Budget,"Gluten, Dairy",Custom
Rectangle,Marble,2kg,Engagement,"Caramel, Fruits",Ganache,Fruit Compote,Vegan,Dark,"Nuts, Edible Flowers, Sprinkles",Double,Moist,High,"Edible Glitter, Piping Art",Medium,Standard,Dairy,1 Week
Rectangle,Red Velvet,2kg,Wedding,"Buttercream, Chocolate, Ganache, Fondant",Fondant,Chocolate,Vegan,Gold,"Nuts, Edible Flowers, Caramel Drizzle",Single,Dense,Low,Gold Leaf,Party Size,Premium,"None, Gluten",1 Day
Heart,Red Velvet,0.5kg,Wedding,"Mousse, Fondant, Chocolate, Ganache",Ganache,Vanilla Custard,Gluten-Free,Pastel,Caramel Drizzle,Double,Fluffy,Low,Edible Glitter,Medium,Standard,Soy,1 Day
Square,Marble,5kg,Baby Shower,"Caramel, Cream Cheese, Mousse, Fruits, Fondant",Cream Cheese Frosting,Raspberry Mousse,Keto-Friendly,Dark,Caramel Drizzle,Single,Dense,Low,Fondant Figures,Small,Budget,"Dairy, Soy",3 Days
Rectangle,Almond,2.5kg,Engagement,"Nuts, Buttercream, Caramel",Fondant,Caramel,Sugar-Free,Rainbow,"Marshmallows, Edible Flowers, Fruits",Double,Fluffy,High,"Edible Glitter, Piping Art, Chocolate Shavings",Large,Premium,"Soy, Dairy",1 Week
Heart,Coconut,2.5kg,Baby Shower,"Ganache, Mousse",Cream Cheese Frosting,Strawberry Jam,Eggless,Gold,Marshmallows,Single,Dense,Extra Sweet,"Chocolate Shavings, Edible Glitter, Piping Art",Large,Budget,"Nuts, Dairy",1 Day
Star,Coconut,2kg,Baby Shower,"Cream Cheese, Caramel",Cream Cheese Frosting,Strawberry Jam,Eggless,Gold,"Nuts, Caramel Drizzle, Marshmallows",Multi-Tier,Soft,Low,"Edible Glitter, Gold Leaf",Party Size,Standard,Dairy,3 Days
Round,Almond,5kg,Baby Shower,"Ganache, Fruits, Mousse, Buttercream, Fondant",Ganache,Chocolate,Keto-Friendly,Gold,Caramel Drizzle,Double,Fluffy,High,Piping Art,Large,Budget,Soy,3 Days
Dome,Chocolate,5kg,Wedding,"Nuts, Caramel",Cream Cheese Frosting,Nutella,Sugar-Free,Monochrome,"Chocolate Chips, Nuts",Double,Fluffy,Extra Sweet,Chocolate Shavings,Medium,Premium,"None, Dairy",1 Day
Round,Pistachio,5kg,Graduation,"Caramel, Ganache, Cream Cheese, Chocolate",Fondant,Strawberry Jam,Regular,Silver,"Sprinkles, Chocolate Chips",Double,Soft,Medium,"Piping Art, Fondant Figures, Gold Leaf",Small,Budget,Gluten,1 Day
Tiered,Almond,3kg,Wedding,"Buttercream, Cream Cheese, Mousse, Caramel",Ganache,Nutella,Keto-Friendly,Gold,Marshmallows,Single,Soft,Extra Sweet,"Piping Art, Edible Glitter",Party Size,Luxury,"None, Soy",1 Week
Square,Vanilla,3kg,Birthday,"Fruits, Buttercream, Chocolate, Ganache",Royal Icing,Vanilla Custard,Low-Carb,Pastel,Chocolate Chips,Double,Soft,Low,Gold Leaf,Party Size,Luxury,"Soy, Gluten",3 Days
Rectangle,Chocolate,1.5kg,Baby Shower,"Caramel, Fondant, Fruits, Ganache",Whipped Cream,Chocolate,Low-Carb,Dark,"Chocolate Chips, Fruits, Caramel Drizzle",Single,Crispy,Extra Sweet,"Edible Glitter, Candied Fruits",Large,Luxury,"Nuts, Soy",1 Week
Rectangle,Pistachio,1.5kg,Baby Shower,"Nuts, Ganache, Cream Cheese",Cream Cheese Frosting,Chocolate,Gluten-Free,Pastel,Sprinkles,Multi-Tier,Soft,Medium,"Chocolate Shavings, Piping Art, Candied Fruits",Small,Luxury,"Nuts, Gluten",3 Days
Round,Vanilla,Custom,Anniversary,"Nuts, Caramel, Buttercream",Buttercream,Nutella,Gluten-Free,Bright,"Chocolate Chips, Edible Flowers",Single,Soft,Medium,Chocolate Shavings,Party Size,Premium,"Dairy, None",Custom
Rectangle,Marble,5kg,Wedding,"Nuts, Chocolate",Royal Icing,Fruit Compote,Gluten-Free,Silver,"Sprinkles, Marshmallows, Chocolate Chips",Single,Dense,High,Edible Glitter,Small,Luxury,"Soy, Gluten",3 Days
Hexagon,Pistachio,4kg,Baby Shower,"Fondant, Cream Cheese",Whipped Cream,Caramel,Regular,Dark,"Sprinkles, Edible Flowers",Single,Crispy,Medium,Chocolate Shavings,Medium,Budget,"Nuts, Gluten",Custom
Tiered,Marble,0.5kg,Wedding,"Cream Cheese, Nuts, Caramel",Royal Icing,Caramel,Vegan,Bright,"Fruits, Edible Flowers, Sprinkles",Double,Crispy,Extra Sweet,Candied Fruits,Large,Standard,"None, Nuts",Custom
Hexagon,Vanilla,3kg,Baby Shower,"Chocolate, Nuts, Buttercream",Ganache,Fruit Compote,Keto-Friendly,Gold,"Edible Flowers, Nuts, Fruits",Multi-Tier,Fluffy,Extra Sweet,"Fondant Figures, Edible Glitter, Piping Art",Party Size,Luxury,Gluten,1 Day
Heart,Vanilla,3kg,Engagement,"Fruits, Nuts",Whipped Cream,Vanilla Custard,Vegan,Pastel,"Edible Flowers, Sprinkles, Marshmallows",Double,Dense,High,"Edible Glitter, Candied Fruits, Gold Leaf",Party Size,Budget,"Nuts, Dairy",1 Week
Square,Vanilla,0.5kg,Graduation,"Fruits, Mousse, Nuts",Ganache,Chocolate,Low-Carb,Rainbow,"Chocolate Chips, Sprinkles, Marshmallows",Double,Fluffy,Low,"Gold Leaf, Piping Art",Large,Budget,"None, Soy",1 Week
Oval,Pistachio,2kg,Birthday,"Ganache, Cream Cheese, Fondant, Buttercream, Caramel",Buttercream,Vanilla Custard,Gluten-Free,Monochrome,"Chocolate Chips, Caramel Drizzle, Edible Flowers",Single,Crispy,High,"Gold Leaf, Candied Fruits",Party Size,Premium,"None, Soy",1 Week
Hexagon,Coconut,1.5kg,Wedding,"Ganache, Nuts, Fondant, Caramel",Fondant,Fruit Compote,Keto-Friendly,Silver,Edible Flowers,Multi-Tier,Moist,Medium,"Gold Leaf, Fondant Figures",Party Size,Premium,Gluten,3 Days
Dome,Vanilla,Custom,Anniversary,"Ganache, Nuts",Fondant,Vanilla Custard,Vegan,Gold,"Chocolate Chips, Nuts, Caramel Drizzle",Single,Fluffy,Extra Sweet,Candied Fruits,Large,Premium,Nuts,1 Day
Oval,Almond,1.5kg,Graduation,"Buttercream, Fondant, Chocolate, Mousse",Ganache,Nutella,Regular,Silver,Nuts,Single,Dense,High,"Chocolate Shavings, Gold Leaf",Medium,Luxury,Soy,3 Days
Rectangle,Gluten-Free,1.5kg,Baby Shower,"Chocolate, Fondant, Nuts, Buttercream, Cream Cheese",Royal Icing,Nutella,Gluten-Free,Monochrome,"Sprinkles, Chocolate Chips",Multi-Tier,Fluffy,Medium,"Chocolate Shavings, Edible Glitter",Party Size,Luxury,"Nuts, Gluten",3 Days
Hexagon,Chocolate,0.5kg,Birthday,"Cream Cheese, Ganache, Chocolate",Royal Icing,Fruit Compote,Eggless,Gold,"Caramel Drizzle, Fruits",Double,Dense,Medium,"Gold Leaf, Candied Fruits, Chocolate Shavings",Small,Premium,"Dairy, Soy",1 Week
Square,Almond,2kg,Engagement,"Buttercream, Chocolate, Ganache, Mousse, Cream Cheese",Cream Cheese Frosting,Strawberry Jam,Vegan,Dark,"Fruits, Chocolate Chips, Nuts",Double,Fluffy,Medium,Chocolate Shavings,Large,Budget,"Nuts, Soy",3 Days
Heart,Marble,0.5kg,Engagement,"Fondant, Cream Cheese, Fruits, Buttercream",Ganache,Vanilla Custard,Keto-Friendly,Bright,"Marshmallows, Chocolate Chips, Fruits",Double,Crispy,Low,"Candied Fruits, Piping Art, Chocolate Shavings",Medium,Budget,Dairy,Custom
Round,Carrot,Custom,Baby Shower,"Nuts, Chocolate, Cream Cheese, Buttercream, Ganache",Cream Cheese Frosting,Fruit Compote,Eggless,Bright,Fruits,Single,Dense,Extra Sweet,"Fondant Figures, Edible Glitter",Large,Budget,"Dairy, None",Custom
Hexagon,Carrot,0.5kg,Engagement,"Chocolate, Caramel, Cream Cheese, Nuts, Buttercream",Fondant,Fruit Compote,Vegan,Monochrome,Caramel Drizzle,Double,Dense,Low,"Chocolate Shavings, Candied Fruits",Small,Budget,"Dairy, Gluten",1 Day
Rectangle,Red Velvet,2kg,Anniversary,"Chocolate, Nuts, Mousse, Ganache",Ganache,Chocolate,Sugar-Free,Pastel,"Fruits, Caramel Drizzle",Single,Fluffy,Medium,Chocolate Shavings,Party Size,Luxury,"Gluten, Soy",Custom
Tiered,Coconut,Custom,Wedding,"Nuts, Chocolate, Fruits, Ganache",Ganache,Caramel,Gluten-Free,Monochrome,"Chocolate Chips, Marshmallows, Sprinkles",Single,Soft,Extra Sweet,"Edible Glitter, Candied Fruits, Fondant Figures",Party Size,Premium,"Gluten, Dairy",Custom
Heart,Pistachio,2kg,Birthday,"Cream Cheese, Buttercream, Chocolate, Fruits, Nuts",Whipped Cream,Raspberry Mousse,Low-Carb,Rainbow,"Nuts, Chocolate Chips, Edible Flowers",Double,Dense,Low,"Piping Art, Edible Glitter",Large,Premium,None,Custom
Square,Vanilla,0.5kg,Baby Shower,"Fruits, Ganache, Caramel, Buttercream",Royal Icing,Chocolate,Vegan,Dark,"Caramel Drizzle, Chocolate Chips",Single,Moist,Extra Sweet,"Gold Leaf, Piping Art, Chocolate Shavings",Party Size,Premium,Dairy,1 Day
Round,Coconut,1.5kg,Graduation,"Nuts, Mousse",Whipped Cream,Chocolate,Eggless,Dark,"Fruits, Sprinkles",Single,Dense,Low,"Candied Fruits, Piping Art",Large,Luxury,Nuts,1 Day
Oval,Red Velvet,2.5kg,Wedding,"Caramel, Fondant, Buttercream, Mousse, Chocolate",Whipped Cream,Chocolate,Sugar-Free,Pastel,Sprinkles,Double,Dense,Medium,"Candied Fruits, Gold Leaf",Small,Budget,None,1 Day
Rectangle,Pistachio,1kg,Graduation,"Chocolate, Nuts",Cream Cheese Frosting,Vanilla Custard,Sugar-Free,Dark,"Edible Flowers, Fruits, Caramel Drizzle",Multi-Tier,Fluffy,Extra Sweet,"Piping Art, Chocolate Shavings, Edible Glitter",Party Size,Standard,None,1 Day
Dome,Almond,1.5kg,Engagement,"Nuts, Caramel, Ganache",Royal Icing,Nutella,Gluten-Free,Gold,"Nuts, Chocolate Chips",Multi-Tier,Dense,High,"Gold Leaf, Candied Fruits, Chocolate Shavings",Small,Premium,"Gluten, Dairy",Custom
Hexagon,Coconut,5kg,Corporate,"Fondant, Nuts, Ganache, Caramel",Buttercream,Fruit Compote,Gluten-Free,Pastel,Fruits,Multi-Tier,Dense,Medium,"Gold Leaf, Piping Art, Fondant Figures",Party Size,Budget,Dairy,1 Week
Oval,Almond,5kg,Corporate,"Chocolate, Buttercream, Mousse",Fondant,Chocolate,Vegan,Silver,Marshmallows,Multi-Tier,Soft,High,"Fondant Figures, Gold Leaf, Piping Art",Medium,Premium,Soy,3 Days
Star,Chocolate,2kg,Graduation,"Fondant, Mousse, Cream Cheese, Buttercream",Whipped Cream,Vanilla Custard,Eggless,Dark,"Sprinkles, Nuts",Single,Crispy,High,"Chocolate Shavings, Candied Fruits, Fondant Figures",Large,Budget,"Dairy, Gluten",3 Days
Rectangle,Marble,3kg,Graduation,"Cream Cheese, Chocolate, Ganache, Nuts, Mousse",Buttercream,Nutella,Vegan,Monochrome,Edible Flowers,Single,Dense,Low,"Piping Art, Chocolate Shavings, Candied Fruits",Medium,Standard,"Gluten, Soy",Custom
Hexagon,Gluten-Free,4kg,Festival,"Fondant, Cream Cheese",Fondant,Fruit Compote,Regular,Monochrome,"Caramel Drizzle, Marshmallows, Fruits",Single,Fluffy,Extra Sweet,"Gold Leaf, Edible Glitter",Party Size,Standard,Soy,3 Days
Dome,Almond,2kg,Baby Shower,"Cream Cheese, Mousse",Buttercream,Strawberry Jam,Regular,Pastel,"Edible Flowers, Chocolate Chips",Single,Soft,High,"Fondant Figures, Chocolate Shavings, Gold Leaf",Medium,Budget,"Gluten, None",1 Day
Dome,Almond,0.5kg,Engagement,"Mousse, Nuts, Cream Cheese",Fondant,Raspberry Mousse,Low-Carb,Monochrome,Sprinkles,Multi-Tier,Dense,Low,"Edible Glitter, Chocolate Shavings",Medium,Luxury,"Gluten, Dairy",1 Day
Oval,Vanilla,2.5kg,Anniversary,"Chocolate, Fruits",Fondant,Fruit Compote,Low-Carb,Rainbow,Edible Flowers,Multi-Tier,Crispy,Extra Sweet,"Piping Art, Fondant Figures",Medium,Budget,Dairy,3 Days
Heart,Coconut,Custom,Wedding,"Ganache, Chocolate, Cream Cheese, Mousse, Fondant",Royal Icing,Caramel,Keto-Friendly,Gold,"Fruits, Chocolate Chips",Double,Soft,Medium,"Chocolate Shavings, Fondant Figures",Party Size,Standard,Gluten,1 Day
Dome,Marble,2kg,Birthday,"Nuts, Ganache, Cream Cheese, Mousse, Buttercream",Whipped Cream,Raspberry Mousse,Sugar-Free,Silver,"Fruits, Edible Flowers",Double,Crispy,High,"Candied Fruits, Fondant Figures, Chocolate Shavings",Party Size,Premium,"None, Soy",1 Day
